Variavel;Coeficiente
cat__sg_uf_not_16;0.7390506062892054
cat__sg_uf_16;0.6799148762522119
cat__sg_uf_not_26;0.5966191120258703
cat__sg_uf_not_53;0.5830555558548022
cat__sg_uf_not_42;-0.5147932539288549
cat__sg_uf_29;-0.5146397360147597
cat__sg_uf_not_41;-0.5064255654475535
cat__sg_uf_43;-0.47642175388637575
cat__sg_uf_not_13;-0.41925685551272385
cat__sg_uf_50;-0.4097530915539833
cat__sg_uf_not_31;-0.39100433782713645
cat__sg_uf_13;0.388932592978083
cat__sg_uf_not_27;0.37155828467051194
cat__sg_uf_not_50;-0.3685337695938163
cat__sg_uf_11;0.3654656596176617
cat__sg_uf_25;-0.3636738625905166
cat__sg_uf_42;-0.35329125702939657
cat__sg_uf_not_32;-0.34689882301528674
cat__sg_uf_not_15;0.3399431613614954
cat__sg_uf_not_21;0.33893952821110906
cat__sg_uf_15;0.33530304358093055
cat__sg_uf_26;0.3239670472925664
cat__sg_uf_not_23;0.31662545421406885
cat__sg_uf_33;0.3162104799003747
cat__sg_uf_not_52;-0.25956658083889167
cat__sg_uf_17;0.24976103860597984
cat__sg_uf_not_24;-0.2374189275063711
num__mes_sin;0.23574813525497582
num__mes_cos;-0.23574813525446545
cat__sg_uf_not_12;0.23372999468213307
cat__sg_uf_not_33;-0.21283539945533606
cat__sg_uf_21;0.20390352646479268
cat__sg_uf_41;-0.19972142239354373
cat__sg_uf_52;0.19108035382430796
cat__sg_uf_not_43;-0.18997992698105767
cat__sg_uf_not_25;-0.17745900372252504
cat__sg_uf_35;-0.16386182969634983
num__cefaleia;-0.1624034812015275
cat__cs_escol_n_9;0.1614462701777815
num__dia_semana_sintomas;0.15430449610898453
num__idade_anos;0.14754608271777747
cat__cs_escol_n_2;0.1387689357132801
cat__sg_uf_31;-0.138405289469197
cat__sg_uf_not_17;0.13183197198043275
cat__sg_uf_23;-0.13112523372224685
cat__sg_uf_not_11;0.12824453985256315
cat__sg_uf_not_22;-0.12622125925357952
cat__cs_raca_5;-0.12180737465161157
cat__cs_raca_9;-0.11405496923408538
cat__sg_uf_24;-0.11284567757576239
cat__cs_raca_1;0.11217883892812366
cat__sg_uf_not_28;0.11162086560264116
cat__cs_escol_n_6;-0.10678167339845981
cat__cs_sexo_M;-0.10364300236966946
cat__sg_uf_27;-0.09830592626822839
num__fim_de_semana_sintomas;-0.09686090375241958
cat__sg_uf_53;0.09172538454525904
cat__cs_escol_n_7;-0.09040530902819831
cat__sg_uf_22;-0.08618708992917565
cat__mes_1;-0.08483243951582027
cat__mes_2;0.08483243951582026
num__vomito;0.07873274449913131
cat__cs_sexo_I;0.07592722375934201
num__nausea;0.07578712687401473
cat__sg_uf_not_35;-0.07414433409616644
cat__cs_raca_4;0.07032060795152553
cat__cs_escol_n_IGN;-0.060263893865281866
num__hipertensa;0.05631286063418738
cat__sg_uf_14;-0.05455709131826272
cat__cs_escol_n_8;0.05413986166417826
cat__cs_escol_n_5;-0.049801880392236264
num__mialgia;-0.04285681679637348
num__febre;-0.04180199231660859
cat__cs_raca_3;0.03191753326568592
cat__sg_uf_not_51;-0.031618199296028035
cat__cs_escol_n_10;-0.02977260013411571
cat__cs_escol_n_3;-0.02925695021248186
cat__sg_uf_51;-0.028832448883800918
cat__cs_sexo_F;0.02771577860668378
cat__sg_uf_not_14;-0.027658841636052235
num__renal;0.021521214040186674
cat__cs_raca_2;0.021445363743439586
cat__sg_uf_28;-0.0181664052497914
num__diabetes;-0.010072374254453892
cat__sg_uf_32;0.00851849930078949
cat__sg_uf_not_29;-0.007403996626536995
cat__cs_escol_n_1;0.005202937856165493
cat__sg_uf_12;-0.004994386786801125
cat__cs_escol_n_0;0.0038302762621176584
cat__cs_escol_n_4;0.0028940253456124837
